time,x,y,
1728369751.3020892,323,-1
1728369751.308603,315,-3
1728369751.3165998,297,-6
1728369751.324601,259,-12
1728369751.331601,201,-20
1728369751.3386023,124,-20
1728369751.3466015,36,-24
1728369751.3536,-64,-25
1728369751.3616002,-108,-24
1728369751.369602,-110,-23
1728369751.3766022,-114,-22
1728369751.3846018,-110,-22
1728369751.3915997,-106,-16
1728369751.399117,-96,-11
1728369751.4061143,-92,-5
1728369751.4146395,-82,-5
1728369751.4216383,-72,-3
1728369751.429643,-57,0
1728369751.4366379,-48,0
1728369751.4436386,-37,0
1728369751.4511573,-34,0
1728369751.459157,-24,0
1728369751.466162,-15,0
1728369751.4741569,-10,0
1728369751.4821565,-1,0
1728369751.48816,0,0
1728369751.4961584,0,-3
1728369751.511156,0,0
1728369751.624257,1,0
1728369751.631813,7,0
1728369751.6390197,20,0
1728369751.646021,35,0
1728369751.6540172,47,0
1728369751.6620178,57,0
1728369751.6690223,65,0
1728369751.6760705,67,0
1728369751.6840653,68,0
1728369751.6910646,70,0
1728369751.69903,72,0
1728369751.7060368,75,0
1728369751.713029,78,0
1728369751.721305,79,0
1728369751.7293065,80,0
1728369751.7358692,82,-3
1728369751.7438712,83,-3
1728369751.7508738,84,-4
1728369751.7588866,85,-7
1728369751.765909,88,-12
1728369751.7739108,89,-11
1728369751.7819097,89,-12
1728369751.7899141,89,-10
1728369751.796534,84,-8
1728369751.8035324,76,-6
1728369751.811532,64,-6
1728369751.819534,46,-7
1728369751.8265338,19,-7
1728369751.8335352,-15,-10
1728369751.841533,-40,-9
1728369751.8485556,-46,-8
1728369751.856064,-47,-9
1728369751.8640664,-49,-7
1728369751.8720691,-49,-7
1728369751.8790662,-49,-4
1728369751.8860672,-48,-5
1728369751.8940675,-52,-4
1728369751.9010649,-52,-5
1728369751.9090662,-49,-4
1728369751.9170678,-52,-4
1728369751.9230661,-52,-5
1728369751.9310663,-49,-4
1728369751.9390686,-42,-5
1728369751.946065,-34,-2
1728369751.9540677,-22,-1
1728369751.961068,-2,0
1728369752.0290043,0,0
1728369752.0358858,-1,0
1728369752.0438845,-1,0
1728369752.0518863,-1,0
1728369752.058887,-2,0
1728369752.0668929,0,0
1728369752.5699322,1,0
1728369752.5759308,4,1
1728369752.5839314,9,2
1728369752.5909317,16,4
1728369752.59909,25,7
1728369752.6060882,34,9
1728369752.6140876,44,12
1728369752.6210878,53,14
1728369752.6290898,63,17
1728369752.6360893,73,19
1728369752.6431074,85,21
1728369752.6511316,99,22
1728369752.659016,114,23
1728369752.6660147,133,26
1728369752.6740153,155,29
1728369752.6812723,180,31
1728369752.6890783,209,35
1728369752.6960747,238,38
1728369752.7038708,270,44
1728369752.71087,299,48
1728369752.7188752,322,51
1728369752.7268832,338,54
1728369752.7338562,352,56
1728369752.7408578,354,56
1728369752.7488585,354,56
1728369752.763514,355,56
1728369752.7715142,356,56
1728369752.7865922,356,56
1728369752.7935913,358,56
1728369752.8016064,358,56
1728369752.8084357,359,56
1728369752.8164415,359,56
1728369753.0489278,359,55
1728369753.0569274,358,55
1728369753.0639267,353,53
1728369753.0719283,347,51
1728369753.0789278,337,49
1728369753.0859263,322,46
1728369753.093929,295,41
1728369753.1009262,253,35
1728369753.1089282,200,25
1728369753.1159277,144,18
1728369753.123929,81,11
1728369753.130928,20,6
1728369753.1399324,-39,4
1728369753.1459262,-54,2
1728369753.153933,-52,0
1728369753.160928,-47,0
1728369753.1699274,-38,0
1728369753.1759274,-28,-2
1728369753.1849303,-20,0
1728369753.1909306,-15,0
1728369753.1989279,-1,0
1728369753.24382,-1,-1
1728369753.250819,0,-1
1728369753.258855,0,0
1728369753.2659278,1,0
1728369753.3265011,1,0
1728369753.3407671,0,0
1728369753.3487651,-3,2
1728369753.3565948,-2,2
1728369753.3635964,-4,3
1728369753.3725946,-11,7
1728369753.3792717,-26,10
1728369753.386269,-55,17
1728369753.394267,-93,24
1728369753.4015448,-134,29
1728369753.4085462,-179,33
1728369753.416554,-220,35
1728369753.423555,-258,34
1728369753.4315546,-295,31
1728369753.4395664,-326,26
1728369753.4466774,-353,19
1728369753.4541287,-372,14
1728369753.4616544,-384,10
1728369753.4689488,-393,5
1728369753.476209,-393,5
1728369753.4841993,-393,3
1728369753.6119,-389,3
1728369753.618904,-375,3
1728369753.6259062,-353,3
1728369753.6349056,-325,5
1728369753.6409109,-297,8
1728369753.6489353,-276,10
1728369753.6559558,-261,13
1728369753.6639595,-250,14
1728369753.6719613,-249,15
1728369753.700958,-248,15
1728369753.7089574,-248,15
1728369753.7159512,-250,15
1728369753.7239542,-252,15
1728369753.7309544,-254,15
1728369753.7389596,-260,15
1728369753.7459543,-272,15
1728369753.7539566,-290,15
1728369753.7609546,-317,15
1728369753.7689588,-353,15
1728369753.776955,-399,15
1728369753.7839537,-448,15
1728369753.7919543,-499,15
1728369753.7989576,-551,16
1728369753.805958,-603,20
1728369753.8139555,-652,24
1728369753.8219547,-694,30
1728369753.8289597,-732,37
1728369753.8379588,-761,43
1728369753.8432417,-786,51
1728369753.8512418,-803,58
1728369753.8592415,-815,62
1728369753.8672476,-826,66
1728369753.874245,-836,70
1728369753.8812394,-844,73
1728369753.8892467,-851,75
1728369753.8962462,-857,76
1728369753.9042456,-858,76
1728369753.912247,-859,76
1728369753.9192407,-860,76
1728369753.9262455,-862,76
1728369753.934245,-865,76
1728369753.9412417,-869,76
1728369753.949241,-876,76
1728369753.9562402,-885,76
1728369753.9632437,-896,76
1728369753.9712389,-908,76
1728369753.9792445,-920,77
1728369753.9862397,-930,78
1728369753.9932423,-940,79
1728369754.0012388,-948,81
1728369754.0082407,-956,83
1728369754.0162394,-965,86
1728369754.0242496,-975,91
1728369754.0312467,-986,95
1728369754.0402424,-999,100
1728369754.0462391,-1017,106
1728369754.0542448,-1034,113
1728369754.0612423,-1051,118
1728369754.069244,-1067,122
1728369754.077244,-1079,125
1728369754.0842433,-1088,127
1728369754.0922441,-1097,128
1728369754.1002407,-1102,129
1728369754.1062417,-1103,129
1728369754.1142433,-1106,129
1728369754.122243,-1108,131
1728369754.1292405,-1110,131
1728369754.1362407,-1112,131
1728369754.1442409,-1114,131
1728369754.1522422,-1117,132
1728369754.1582453,-1122,134
1728369754.1662397,-1125,135
1728369754.1742442,-1126,135
1728369754.181245,-1127,135
1728369754.1892438,-1127,135
1728369754.1962397,-1129,134
1728369754.2042432,-1129,131
1728369754.211391,-1131,128
1728369754.218418,-1132,124
1728369754.2264667,-1133,116
1728369754.2345037,-1134,108
1728369754.2425363,-1135,98
1728369754.249768,-1135,91
1728369754.3699605,-1131,88
1728369754.3760052,-1119,85
1728369754.3850505,-1100,84
1728369754.3911126,-1081,84
1728369754.3991218,-1065,84
1728369754.4062543,-1064,84
1728369754.4357948,-1064,84
1728369754.443899,-1064,84
1728369754.4521608,-1066,84
1728369754.4591782,-1067,84
1728369754.4672124,-1069,85
1728369754.4742277,-1074,86
1728369754.4812267,-1078,87
1728369754.489295,-1082,89
1728369754.4963005,-1085,89
1728369754.5035644,-1090,90
1728369754.5116081,-1094,92
1728369754.518709,-1099,94
1728369754.5272672,-1101,95
1728369754.5336323,-1102,95
1728369754.5416331,-1105,95
1728369754.5486326,-1109,97
